	#%Freq (Hz)	%Mic/Source_Real	%Mic/Source_Imag
57.000000000000014E+0	16.375123647790389E-3	-9.881334979761409E-3
57.500000000000014E+0	16.640762816821558E-3	-10.185671128976849E-3
58.000000000000014E+0	16.128957596135907E-3	-10.130867936742354E-3
58.500000000000014E+0	16.015099349161906E-3	-10.675704713751297E-3
59.000000000000014E+0	16.534537127514147E-3	-11.315124564347493E-3
59.500000000000014E+0	16.532807804729450E-3	-12.253106041582388E-3
60.000000000000014E+0	17.577326708822661E-3	-13.596977628667692E-3
60.500000000000014E+0	18.358785312171003E-3	-13.475761252362300E-3
61.000000000000014E+0	19.001461150397969E-3	-14.405389002972873E-3
61.500000000000014E+0	18.869136419725176E-3	-14.711810463881661E-3
62.000000000000014E+0	19.443200771900787E-3	-15.698682428292789E-3
62.500000000000014E+0	22.117374143588775E-3	-19.726409421609175E-3
63.000000000000014E+0	16.801288561953405E-3	-16.582859617574098E-3
63.500000000000014E+0	17.415990209444222E-3	-18.304490366194106E-3
64.000000000000014E+0	17.694798993222325E-3	-18.950899657825791E-3
64.500000000000014E+0	17.672154290353417E-3	-20.001589569954743E-3
65.000000000000014E+0	17.715219193326217E-3	-20.759576131408206E-3
65.500000000000014E+0	17.267709009048397E-3	-22.207559524923742E-3
66.000000000000014E+0	19.834678855560187E-3	-25.627483755331887E-3
66.500000000000014E+0	18.827679450439283E-3	-21.248822740433035E-3
67.000000000000014E+0	18.143687788491392E-3	-23.401233821511949E-3
67.500000000000014E+0	16.428063307416713E-3	-23.588506594123069E-3
68.000000000000014E+0	14.340704922601080E-3	-24.288300785360373E-3
68.500000000000014E+0	15.008206962167004E-3	-24.328413251304068E-3
69.000000000000014E+0	13.639590471453572E-3	-27.031355846784746E-3
69.500000000000014E+0	14.488341419790590E-3	-28.852998086581674E-3
70.000000000000014E+0	15.473340143358525E-3	-28.344821781049294E-3
70.500000000000014E+0	15.058074284842328E-3	-28.377256602113519E-3
71.000000000000014E+0	14.509109621526571E-3	-28.537907443664363E-3
71.500000000000014E+0	14.474822334794983E-3	-29.298441575557468E-3
72.000000000000014E+0	14.311313778013687E-3	-30.097036810630907E-3
72.500000000000014E+0	14.309699779050666E-3	-30.293648031638226E-3
73.000000000000014E+0	13.518276833375430E-3	-31.498747481366579E-3
73.500000000000014E+0	13.324339731346099E-3	-32.218320235032780E-3
74.000000000000014E+0	11.707477477188160E-3	-33.355417199257567E-3
74.500000000000014E+0	10.642844339164598E-3	-33.861130068411960E-3
75.000000000000014E+0	9.453936891032627E-3	-34.646276865869970E-3
75.500000000000014E+0	8.787591153597580E-3	-35.269516754504730E-3
76.000000000000014E+0	8.250083623633841E-3	-36.058170515487202E-3
76.500000000000014E+0	7.874698812305387E-3	-37.109988170987845E-3
77.000000000000014E+0	7.555435962343104E-3	-37.821419783304083E-3
77.500000000000014E+0	7.404849443385192E-3	-37.783369603876009E-3
78.000000000000014E+0	6.701951126056560E-3	-37.807984772104619E-3
